0,7.9797e-25
-5.0001e-12,0.1
-1e-11,0.2
-1.5e-11,0.3
-2e-11,0.4
-2.5e-11,0.5
-3e-11,0.6
-3.5e-11,0.7
-4e-11,0.8
-4.5e-11,0.9
-5.0001e-11,1
-5.5001e-11,1.1
-6.0001e-11,1.2
-6.5001e-11,1.3
-7.0001e-11,1.4
-7.5001e-11,1.5
-8.0001e-11,1.6
-8.5001e-11,1.7
-9.0001e-11,1.8
-9.5001e-11,1.9
-1e-10,2
-1.05e-10,2.1
-1.1e-10,2.2
-1.15e-10,2.3
-1.2e-10,2.4
-1.25e-10,2.5
-1.3e-10,2.6
-1.35e-10,2.7
-1.4e-10,2.8
-1.45e-10,2.9
-1.5e-10,3
-1.55e-10,3.1
-1.6e-10,3.2
-1.65e-10,3.3
-1.7e-10,3.4
-1.75e-10,3.5
-1.8e-10,3.6
-1.85e-10,3.7
-1.9e-10,3.8
-1.95e-10,3.9
-2e-10,4
-2.05e-10,4.1
-2.1e-10,4.2
-2.15e-10,4.3
-2.2e-10,4.4
-2.25e-10,4.5
-2.3e-10,4.6
-2.35e-10,4.7
-2.4e-10,4.8
-2.45e-10,4.9
-2.5e-10,5
-2.55e-10,5.1
-2.6e-10,5.2
-2.65e-10,5.3
-2.7e-10,5.4
-2.75e-10,5.5
-2.8e-10,5.6
-2.85e-10,5.7
-2.9e-10,5.8
-2.95e-10,5.9
-3e-10,6
-3.05e-10,6.1
-3.1e-10,6.2
-3.15e-10,6.3
-3.2e-10,6.4
-3.25e-10,6.5
-3.3e-10,6.6
-3.35e-10,6.7
-3.4e-10,6.8
-3.45e-10,6.9
-3.5e-10,7
-3.55e-10,7.1
-3.6e-10,7.2
-3.65e-10,7.3
-3.7e-10,7.4
-3.75e-10,7.5
-3.8e-10,7.6
-3.85e-10,7.7
-3.9e-10,7.8
-3.95e-10,7.9
-4e-10,8
-4.05e-10,8.1
-4.1e-10,8.2
-4.15e-10,8.3
-4.2e-10,8.4
-4.25e-10,8.5
-4.3e-10,8.6
-4.35e-10,8.7
-4.4e-10,8.8
-4.45e-10,8.9
-4.5e-10,9
-4.55e-10,9.1
-4.6e-10,9.2
-4.6501e-10,9.3
-4.7001e-10,9.4
-4.7501e-10,9.5
-4.8001e-10,9.6
-4.8501e-10,9.7
-4.9001e-10,9.8
-4.9501e-10,9.9
-5.0001e-10,10
-5.0501e-10,10.1
-5.1001e-10,10.2
-5.1501e-10,10.3
-5.2001e-10,10.4
-5.2501e-10,10.5
-5.3001e-10,10.6
-5.3501e-10,10.7
-5.4001e-10,10.8
-5.4501e-10,10.9
-5.5001e-10,11
-5.5501e-10,11.1
-5.6001e-10,11.2
-5.6501e-10,11.3
-5.7001e-10,11.4
-5.7501e-10,11.5
-5.8001e-10,11.6
-5.8501e-10,11.7
-5.9001e-10,11.8
-5.9501e-10,11.9
-6.0001e-10,12
-6.0501e-10,12.1
-6.1001e-10,12.2
-6.1501e-10,12.3
-6.2001e-10,12.4
-6.2501e-10,12.5
-6.3001e-10,12.6
-6.3501e-10,12.7
-6.4001e-10,12.8
-6.4501e-10,12.9
-6.5001e-10,13
-6.5501e-10,13.1
-6.6001e-10,13.2
-6.6501e-10,13.3
-6.7001e-10,13.4
-6.7501e-10,13.5
-6.8001e-10,13.6
-6.8501e-10,13.7
-6.9001e-10,13.8
-6.9501e-10,13.9
-7.0001e-10,14
-7.0501e-10,14.1
-7.1001e-10,14.2
-7.1501e-10,14.3
-7.2001e-10,14.4
-7.2501e-10,14.5
-7.3001e-10,14.6
-7.3501e-10,14.7
-7.4001e-10,14.8
-7.4501e-10,14.9
-7.5001e-10,15
-7.5501e-10,15.1
-7.6001e-10,15.2
-7.6501e-10,15.3
-7.7001e-10,15.4
-7.7501e-10,15.5
-7.8001e-10,15.6
-7.8501e-10,15.7
-7.9001e-10,15.8
-7.9501e-10,15.9
-8.0001e-10,16
-8.0501e-10,16.1
-8.1001e-10,16.2
-8.1501e-10,16.3
-8.2001e-10,16.4
-8.2501e-10,16.5
-8.3001e-10,16.6
-8.3501e-10,16.7
-8.4001e-10,16.8
-8.4501e-10,16.9
-8.5001e-10,17
-8.5501e-10,17.1
-8.6001e-10,17.2
-8.6501e-10,17.3
-8.7001e-10,17.4
-8.7501e-10,17.5
-8.8001e-10,17.6
-8.8501e-10,17.7
-8.9001e-10,17.8
-8.9501e-10,17.9
-9.0001e-10,18
-9.0501e-10,18.1
-9.1001e-10,18.2
-9.1501e-10,18.3
-9.2001e-10,18.4
-9.2501e-10,18.5
-9.3001e-10,18.6
-9.3501e-10,18.7
-9.4001e-10,18.8
-9.4501e-10,18.9
-9.5001e-10,19
-9.5501e-10,19.1
-9.6001e-10,19.2
-9.6501e-10,19.3
-9.7001e-10,19.4
-9.7501e-10,19.5
-9.8001e-10,19.6
-9.8501e-10,19.7
-9.9001e-10,19.8
-9.9501e-10,19.9
-1e-09,20
-1.005e-09,20.1
-1.01e-09,20.2
-1.015e-09,20.3
-1.02e-09,20.4
-1.025e-09,20.5
-1.03e-09,20.6
-1.035e-09,20.7
-1.04e-09,20.8
-1.045e-09,20.9
-1.05e-09,21
-1.055e-09,21.1
-1.06e-09,21.2
-1.065e-09,21.3
-1.07e-09,21.4
-1.075e-09,21.5
-1.08e-09,21.6
-1.085e-09,21.7
-1.09e-09,21.8
-1.095e-09,21.9
-1.1e-09,22
-1.105e-09,22.1
-1.11e-09,22.2
-1.115e-09,22.3
-1.12e-09,22.4
-1.125e-09,22.5
-1.13e-09,22.6
-1.135e-09,22.7
